Contract_Name,Function,Address,RTT,Gas_Used,Gas_Price,Transacction_Fee,Date
Market,addProvider,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,32.66896963119507,6857431,1113943899,0.007638793425263469,2024-03-16 16:21:04.901484
Market,addProvider,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,7.374228477478027,10088992,1101460755,0.01111262874550896,2024-03-16 16:21:28.252119
Market,addProvider,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,20.28713607788086,19132973,1094772462,0.020946251956589525,2024-03-16 16:22:04.603324
Market,addProvider,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,8.594450235366821,12046269,1094733263,0.013187451369345748,2024-03-16 16:22:28.991484
Market,addProvider,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,20.904127597808838,8021147,1102986075,0.008847213446528024,2024-03-16 16:23:05.965903
Market,addProvider,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,7.35665488243103,9071808,1124022716,0.010196918267190528,2024-03-16 16:23:29.114268
Market,addProvider,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,7.483185529708862,8567717,1122894043,0.009620638381409832,2024-03-16 16:23:52.474338
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,20.031084299087524,18082292,6889445921,0.12457697286173093,2024-03-16 21:18:52.901762
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,20.216796875,18262341,7145096919,0.13048619641282738,2024-03-16 21:19:29.185779
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,8.055643320083618,14852713,7479742779,0.11109447281030943,2024-03-16 21:19:53.546743
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,7.048737287521362,10991391,7378386204,0.08109872771716976,2024-03-16 21:20:16.679831
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,68.04055380821228,25771746,7173105920,0.1848634638013363,2024-03-16 21:21:40.828362
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,8.151226043701172,18871353,8857684504,0.1671564910376139,2024-03-16 21:22:04.940003
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,19.278488874435425,23126641,9207598116,0.21294081610100835,2024-03-16 21:22:40.460741
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,9.713498830795288,10802618,10016469754,0.10820409646101598,2024-03-16 21:23:06.180695
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,6.64101505279541,15797884,9859432957,0.155758178160463,2024-03-16 21:23:28.757179
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,8.93939995765686,15700585,10030121638,0.15747877733775822,2024-03-16 21:23:53.866155
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,8.729183912277222,14722130,9903653863,0.14580287964608818,2024-03-16 21:24:18.561459
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,18.11836886405945,9719076,10056040626,0.09773542310318158,2024-03-16 21:24:52.872757
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,19.907036304473877,24195426,10282454968,0.24878837827657638,2024-03-16 21:25:28.738900
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,7.893843650817871,18201183,11089409453,0.2018403708159829,2024-03-16 21:25:52.786519
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,8.287810802459717,14270286,11665013767,0.16646308264902737,2024-03-16 21:26:17.115326
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,9.340731620788574,13988520,11738731633,0.16420748222285317,2024-03-16 21:26:42.654877
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,6.25230073928833,14694334,12457424238,0.18305355253286748,2024-03-16 21:27:05.430557
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,7.8211798667907715,29210942,12045736071,0.35186729771728886,2024-03-16 21:27:29.335095
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,10.414607048034668,5119070,14916103464,0.07635657775945848,2024-03-16 21:29:53.275526
Market,createCustomSLA,0x11C2AD05412900B94e113eD40A968eAe31fD28aD,18.79514741897583,18864978,14576574338,0.2749867542017346,2024-03-16 21:30:30.254013
